Name,Points,Status,Pattern,Tags,Pomos (25 mins),Do Date,Source,Related To,Relates,Created Time,Problem Statement,Last edited time,Day Completed
Previous Permutation,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Jan 29, 2021",https://www.geeksforgeeks.org/lexicographically-previous-permutation-in-c/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Next%20Permutation%20f72d658cad3e4c02bcd5e732650ec0c7.md,,"Jan 24, 2021 7:10 PM",,"May 11, 2021 9:04 AM",
C. Ball in Berland,1300,done,,complementary,,"Jan 25, 2021",,,,"Jan 25, 2021 9:02 AM",,"Jan 25, 2021 9:08 AM",
D Cleaning the phone,1500,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Binary-Search-c1187205516c42ac9b3b3c69f153914a",,,"Jan 25, 2021",https://codeforces.com/contest/1475/problem/D,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Minimum%20cost%20you%20need%20to%20spend%20to%20get%20required%20val%205f8338589e4e403d8ba6a936f7184bba.md,,"Jan 25, 2021 10:20 AM",,"Mar 31, 2021 8:59 AM",
Minimum cost you need to spend to get required value,,waiting,,own,,,,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/D%20Cleaning%20the%20phone%20014fdd92baa1420c8b2f579f164277f8.md,"Jan 25, 2021 11:29 AM",,"May 20, 2021 9:56 AM",
F. Unusual Matrix,1800,ok,https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb,,,"Jan 25, 2021",https://codeforces.com/contest/1475/problem/F,,,"Jan 25, 2021 12:26 PM",,"Feb 22, 2021 9:57 PM",
Binary Tree Cameras - LeetCode,2000,ok,https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee,microsoft,1,"Jan 27, 2021",https://leetcode.com/problems/binary-tree-cameras/,,,"Jan 26, 2021 2:31 PM",,"Mar 01, 2021 8:46 AM",
Text Justification - LeetCode,,waiting,,,,,https://leetcode.com/problems/text-justification/,,,"Jan 26, 2021 3:36 PM",,"May 20, 2021 9:56 AM",
Minimum operations needed to make all frequencies equal,,waiting,,microsoft,1,,,,,"Jan 27, 2021 9:23 AM",,"May 20, 2021 9:56 AM",
Minimum operations to make frequency of all characters equal K - GeeksforGeeks,1500,ok,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Hashing-dc1f706a2c0b4b5eb6ee200a3ab1ae98",unverified,,"Jan 27, 2021",https://www.geeksforgeeks.org/minimum-operations-to-make-frequency-of-all-characters-equal-k/,,,"Jan 27, 2021 9:26 AM",,"May 11, 2021 8:58 AM",
Minimum Deletions to Make Character Frequencies Unique - LeetCode,1600,ok,https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3,,2,"Jan 27, 2021",https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,,,"Jan 27, 2021 3:41 PM",,"Mar 01, 2021 3:43 PM",
Partition given string in such manner that i'th substring is sum of (i-1)'th and (i-2)'th substring - GeeksforGeeks,,waiting,,amazon,,,https://www.geeksforgeeks.org/partition-given-string-manner-ith-substring-sum-1th-2th-substring/,,,"Jan 27, 2021 7:08 PM",,"May 20, 2021 9:56 AM",
Building Boxes,2000,waiting,,,,,https://leetcode.com/problems/building-boxes/,,,"Jan 27, 2021 8:01 PM",,"May 20, 2021 9:55 AM",
B. Nezzar and Lucky Number,,waiting,,,,,https://codeforces.com/contest/1478/problem/B#,,,"Jan 27, 2021 11:07 PM",,"May 20, 2021 9:56 AM",
C. Nezzar and Symmetric Array,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Jan 28, 2021",https://codeforces.com/contest/1478/problem/C#,,,"Jan 27, 2021 11:12 PM",,"May 11, 2021 9:04 AM",
Count Ways to Make Array With Product - LeetCode,2000,waiting,https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9,,,,https://leetcode.com/problems/count-ways-to-make-array-with-product/,,,"Jan 30, 2021 7:47 AM",,"May 23, 2021 8:53 AM",
Palindrome Partitioning IV - LeetCode,1600,done,https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee,,,"Jan 30, 2021",https://leetcode.com/problems/palindrome-partitioning-iv/,,,"Jan 30, 2021 10:31 AM",,"Mar 01, 2021 8:46 AM",
Fenwick Tree,1800,waiting,,,,,,,,"Jan 31, 2021 2:15 PM",,"May 20, 2021 9:55 AM",
Partition Equal Subset Sum - LeetCode,1500,ok,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb",,,"Jan 31, 2021",https://leetcode.com/problems/partition-equal-subset-sum/,,,"Jan 31, 2021 2:43 PM",,"May 11, 2021 9:01 AM",
Partition to K Equal Sum Subsets - LeetCode,1600,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Backtracking-90d58a7ffa85438e86ce346981bf35b5",,1,"Feb 02, 2021",https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,,,"Jan 31, 2021 2:43 PM",,"Mar 07, 2021 9:23 AM",
KMP Algorithm,1600,ok,https://www.notion.so/String-31fee88325084b2db1f8d82cce81360c,,2,"Feb 25, 2021",,,,"Jan 31, 2021 3:56 PM",,"Feb 25, 2021 8:14 AM",
Topological Sort,,waiting,,,,,,,,"Jan 31, 2021 11:46 PM",,"May 20, 2021 9:56 AM",
Counting Bits - LeetCode,1500,done,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",,1,"Feb 01, 2021",https://leetcode.com/problems/counting-bits/,,,"Feb 01, 2021 8:18 AM",,"May 11, 2021 9:12 AM",
Queue Reconstruction by Height - LeetCode,1600,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,2,"Feb 01, 2021",https://leetcode.com/problems/queue-reconstruction-by-height/,,,"Feb 01, 2021 8:33 AM",,"Mar 01, 2021 3:42 PM",
Count of Smaller Numbers After Self - LeetCode,2000,waiting,,,,,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,,,"Feb 01, 2021 9:20 AM",,"May 23, 2021 8:53 AM",
Alphonso Questions,,waiting,,,,,,,,"Feb 01, 2021 11:18 PM",,"May 20, 2021 9:56 AM",
D - Staircase Sequences,1500,done,,,1,"Feb 02, 2021",https://atcoder.jp/contests/abc190/tasks/abc190_d,,,"Feb 01, 2021 11:44 PM",,"Feb 02, 2021 8:16 AM",
Permutations - LeetCode,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Backtracking-90d58a7ffa85438e86ce346981bf35b5",,1,"Feb 04, 2021",https://leetcode.com/problems/permutations/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Print%20Derangements%20c51172033f2f4ba0a8b51955274eebc4.md,"Feb 02, 2021 9:13 AM",,"Mar 07, 2021 9:23 AM",
"One step back two step forward: reach end of array ",1700,ok,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/State-DP-d47501a89a2d4c8b8b9733df5038d6e8","goldman sachs, new",1,"Feb 03, 2021",https://leetcode.com/discuss/interview-question/821780/goldman-sachs-array-dp-problem-oa-august-2020,,,"Feb 03, 2021 7:57 AM",,"Apr 06, 2021 9:02 AM",
Binary tree Morris Traversal,1800,ok,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,1,"Feb 03, 2021",,,,"Feb 03, 2021 9:03 AM",,"May 11, 2021 9:11 AM",
Bus Routes - LeetCode,2000,waiting,,goldman sachs,,,https://leetcode.com/problems/bus-routes/,,,"Feb 03, 2021 4:49 PM",,"May 23, 2021 8:53 AM",
Reverse Linked List II - LeetCode,1500,waiting,https://www.notion.so/Linked-List-fed40f1dbcfc43d9913de240bdc06f68,,,,https://leetcode.com/problems/reverse-linked-list-ii/,,,"Feb 04, 2021 7:51 AM",,"Feb 24, 2021 9:12 AM",
H-Index - LeetCode,1500,done,,,,"Feb 05, 2021",https://leetcode.com/problems/h-index/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/H-Index%20II%20-%20LeetCode%20438da1823db64e88a563fd1d08875b18.md,,"Feb 04, 2021 8:45 PM",,"Feb 05, 2021 7:50 AM",
H-Index II - LeetCode,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Binary-Search-c1187205516c42ac9b3b3c69f153914a",,1,"Feb 05, 2021",https://leetcode.com/problems/h-index-ii/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/H-Index%20-%20LeetCode%2071af86df9a514c50bbca1c20f1721fa2.md,"Feb 04, 2021 8:46 PM",,"Mar 31, 2021 8:59 AM",
4 digit puzzle,,waiting,,,,,,,,"Feb 04, 2021 8:47 PM",,"May 20, 2021 9:55 AM",
Puzzle: Transferring the tourists - GeeksforGeeks,1000,ok,,,,"Feb 07, 2021",https://www.geeksforgeeks.org/puzzle-transferring-the-tourists/,,,"Feb 04, 2021 9:41 PM",,"Feb 07, 2021 8:19 AM",
Minimum Length of String After Deleting Similar Ends - LeetCode,1500,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/String-31fee88325084b2db1f8d82cce81360c, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,,"Feb 08, 2021",https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends/,,,"Feb 08, 2021 8:13 AM",,"Mar 01, 2021 3:43 PM",
Maximum Number of Events That Can Be Attended - LeetCode,1600,ok,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Intervals-ebd124f2083d4f999c01b25e664d9e01",,1,"Feb 08, 2021",https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/,,,"Feb 08, 2021 8:17 AM",,"Mar 04, 2021 8:11 AM",
Maximum Number of Events That Can Be Attended II - LeetCode,2000,waiting,https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee,,,,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii/,,,"Feb 08, 2021 8:23 AM",,"May 20, 2021 9:55 AM",
QuickSort - GeeksforGeeks,1600,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Partition-bca5c9012e0e421198bcc258e96c6797",,1,"Feb 12, 2021",https://www.geeksforgeeks.org/quick-sort/,,,"Feb 08, 2021 8:42 AM",,"Feb 26, 2021 8:30 AM",
Subsets - LeetCode,1500,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Backtracking-90d58a7ffa85438e86ce346981bf35b5, https://www.notion.so/Recursion-cc19c59122e4470f90cfd5d1fcb17409",,1,"Feb 08, 2021",https://leetcode.com/problems/subsets/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Subsets%20II%20-%20Leetcode%2001c9817f7f834aceb03c3db41a722a2a.md,"Feb 08, 2021 1:30 PM",,"Apr 06, 2021 9:02 AM",
Subsets II - Leetcode,1500,waiting,,,,,https://leetcode.com/problems/subsets-ii/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Subsets%20-%20LeetCode%20d36cff854e0c4b7c8313352e2c614392.md,,"Feb 08, 2021 1:37 PM",,"Feb 18, 2021 7:45 AM",
Kth Smallest Element in a BST - LeetCode,1200,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,1,"Feb 09, 2021",https://leetcode.com/problems/kth-smallest-element-in-a-bst/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/BST%20%5Bgetting%20the%20kth%20smallest%20element%5D%20c4eab2aacf694a73a4a3ed60e2ddb104.md,"Feb 09, 2021 7:59 AM",,"May 11, 2021 9:11 AM",
Game of Life - Leetcode,1500,done,https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb,,1,"Feb 09, 2021",https://leetcode.com/problems/game-of-life/,,,"Feb 09, 2021 8:24 AM",,"Feb 22, 2021 9:57 PM",
Rotate Array - LeetCode,1500,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Feb 09, 2021",https://leetcode.com/problems/rotate-array/,,,"Feb 09, 2021 8:54 AM",,"May 11, 2021 9:04 AM",
moving average in sql,1500,waiting,,,,,,,,"Feb 09, 2021 5:15 PM",,"May 20, 2021 9:56 AM",
Array Nesting - LeetCode,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Feb 10, 2021",https://leetcode.com/problems/array-nesting/,,,"Feb 09, 2021 8:17 PM",,"May 11, 2021 9:04 AM",
Longest Subarray with Ones after Replacement (hard),1600,done,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Sliding-Window-57edd445fc8d49ac98bcd1076bcdd3aa",,,"Feb 10, 2021",https://www.educative.io/courses/grokking-the-coding-interview/B6VypRxPolJ,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Longest%20Substring%20with%20Same%20Letters%20after%20Replacem%200094a2a5bc664ac98da0d5d185b52937.md,,"Feb 10, 2021 8:22 AM",,"May 11, 2021 9:00 AM",
Longest Consecutive Sequence - LeetCode,2000,waiting,,,,,https://leetcode.com/problems/longest-consecutive-sequence/,,,"Feb 10, 2021 8:48 AM",,"May 23, 2021 8:53 AM",
Binary Tree Maximum Path Sum - LeetCode,1800,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,,"Feb 10, 2021",https://leetcode.com/problems/binary-tree-maximum-path-sum/,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Longest%20Univalue%20Path%20-%20LeetCode%2065cafe19478b4f4ca3830cdb472f422b.md,"Feb 10, 2021 9:06 AM",,"May 11, 2021 9:11 AM",
Time Needed to Inform All Employees - LeetCode,1500,done,https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a,,,"Feb 11, 2021",https://leetcode.com/problems/time-needed-to-inform-all-employees/,,,"Feb 10, 2021 9:09 AM",,"Mar 01, 2021 8:43 AM",
Longest Univalue Path - LeetCode,1500,done,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,,,"Feb 10, 2021",https://leetcode.com/problems/longest-univalue-path/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Binary%20Tree%20Maximum%20Path%20Sum%20-%20LeetCode%2028ebeed1237b40b4a956425aa1a7f1dc.md,,"Feb 10, 2021 9:13 AM",,"May 11, 2021 9:11 AM",
Expected number of throws to get 55,1500,done,https://www.notion.so/State-DP-d47501a89a2d4c8b8b9733df5038d6e8,,,"Feb 11, 2021",,,,"Feb 10, 2021 11:47 AM",,"Mar 01, 2021 8:58 AM",
Expected number of throws to get 56,1500,done,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/State-DP-d47501a89a2d4c8b8b9733df5038d6e8",,,"Feb 11, 2021",,,,"Feb 10, 2021 12:12 PM",,"Mar 01, 2021 8:58 AM",
Expected number of throws to get k consecutive 5's,1500,ok,,,,"Feb 11, 2021",,,,"Feb 10, 2021 12:12 PM",,"Feb 11, 2021 7:58 AM",
Two archers,,done,,,,"Feb 11, 2021",,,,"Feb 10, 2021 12:32 PM",,"Feb 11, 2021 8:10 AM",
Expected value of shorter segment,1500,ok,,goldman sachs,,"Feb 10, 2021",,,,"Feb 10, 2021 12:36 PM",,"Feb 10, 2021 1:15 PM",
What is the probability of forming triangle?,1500,ok,,,1,"Feb 10, 2021",,,,"Feb 10, 2021 12:45 PM",,"Feb 10, 2021 4:37 PM",
Expected steps to reach opposite corner,1600,done,https://www.notion.so/State-DP-d47501a89a2d4c8b8b9733df5038d6e8,goldman sachs,2,"Feb 10, 2021",,,,"Feb 10, 2021 12:48 PM",,"Apr 06, 2021 9:01 AM",
Probability that the second best is the runner up,1200,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Feb 10, 2021",,,,"Feb 10, 2021 1:04 PM",,"May 11, 2021 9:04 AM",
Random game,,waiting,,,,,,,,"Feb 10, 2021 2:56 PM",,"May 23, 2021 8:53 AM",
Number of ways to form n-bit string,1500,done,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb",,,"Feb 10, 2021",,,,"Feb 10, 2021 4:36 PM",,"May 11, 2021 9:01 AM",
Number of ways to pick first or last,1500,done,https://www.notion.so/Backtracking-90d58a7ffa85438e86ce346981bf35b5,own,,"Feb 28, 2021",,,,"Feb 10, 2021 11:53 PM",,"Feb 28, 2021 8:37 AM",
Sliding Window Maximum - Leetcode,2000,done,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Sliding-Window-57edd445fc8d49ac98bcd1076bcdd3aa","new, standard",1,"Feb 11, 2021",https://leetcode.com/problems/sliding-window-maximum/,,,"Feb 11, 2021 8:41 AM",,"May 11, 2021 9:00 AM",
Word Break II - LeetCode,2000,waiting,,,,,https://leetcode.com/problems/word-break-ii/,,,"Feb 11, 2021 10:20 AM",,"May 23, 2021 8:53 AM",
Find First and Last Position of Element in Sorted Array - LeetCode,1500,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Binary-Search-c1187205516c42ac9b3b3c69f153914a",,,"Feb 12, 2021",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,,,"Feb 12, 2021 7:34 AM",,"Mar 31, 2021 8:59 AM",
Kth Largest Element in an Array - LeetCode,1700,done,https://www.notion.so/Partition-bca5c9012e0e421198bcc258e96c6797,,2,"Feb 26, 2021",https://leetcode.com/problems/kth-largest-element-in-an-array/,,,"Feb 12, 2021 7:37 AM",,"Feb 26, 2021 8:45 AM",
Wiggle Sort II - LeetCode,2000,waiting,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Inplace-56639a79fe9b43679b7b82f728770acd",,,,https://leetcode.com/problems/wiggle-sort-ii/,,,"Feb 12, 2021 7:42 AM",,"May 23, 2021 8:53 AM",
Median of an unsorted array using Quick Select Algorithm - Geeksforgeeks,2000,waiting,,,,,"https://www.geeksforgeeks.org/median-of-an-unsorted-array-in-liner-time-on/#:~:text=Median%20of%20a%20sorted%20array,elements%20when%20n%20is%20even.&text=Naive%20Approach%3A,arr%5Bn%2F2%5D.",,,"Feb 12, 2021 7:57 AM",,"May 23, 2021 8:53 AM",
Surrounded Regions - LeetCode,1500,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/DFS-ba39c3dceb894d178f88767d81fa001a",,,"Feb 12, 2021",https://leetcode.com/problems/surrounded-regions/,,,"Feb 12, 2021 8:10 AM",,"Mar 01, 2021 8:43 AM",
Bipartite Graph | binarysearch,1500,done,,,,"Feb 12, 2021",https://binarysearch.com/problems/Bipartite-Graph,,,"Feb 12, 2021 9:15 AM",,"Feb 12, 2021 9:31 AM",
Print all the cycles in an undirected graph - GeeksforGeeks,1700,waiting,,,,,https://www.geeksforgeeks.org/print-all-the-cycles-in-an-undirected-graph/,,,"Feb 12, 2021 9:17 AM",,"May 20, 2021 9:55 AM",
Huffman Coding | Greedy Algo-3 - GeeksforGeeks,1700,waiting,https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3,,,,https://www.geeksforgeeks.org/huffman-coding-greedy-algo-3/,,,"Feb 12, 2021 3:14 PM",,"May 20, 2021 9:55 AM",
Next Permutation From Pool | binarysearch,2000,waiting,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9",hard,2,,https://binarysearch.com/problems/Next-Permutation-From-Pool,,,"Feb 12, 2021 10:29 PM",,"May 23, 2021 8:53 AM",
Minimum Limit of Balls in a Bag - LeetCode,1650,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Binary-Search-c1187205516c42ac9b3b3c69f153914a",,,"Feb 13, 2021",https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/,,,"Feb 13, 2021 11:05 AM",,"Apr 01, 2021 7:00 AM",
Minimum Degree of a Connected Trio in a Graph - LeetCode,1600,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,,"Feb 13, 2021",https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph/,,,"Feb 13, 2021 11:12 AM",,"May 11, 2021 9:04 AM",
Print all the cycles in an undirected graph - GeeksforGeeks,1800,waiting,,,,,https://www.geeksforgeeks.org/print-all-the-cycles-in-an-undirected-graph/,,,"Feb 14, 2021 9:15 AM",,"May 20, 2021 9:55 AM",
Sum of Subarray Minimums - Leetcode,1600,ok,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Stack-67154e5bf7324feab7a8a732f028898b",like,,"Feb 14, 2021",https://leetcode.com/problems/sum-of-subarray-minimums/,,,"Feb 14, 2021 10:54 AM",,"May 11, 2021 8:58 AM",
Subarray Sums Divisible by K - Leetcode,1500,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Hashing-dc1f706a2c0b4b5eb6ee200a3ab1ae98",like,1,"Feb 15, 2021",https://leetcode.com/problems/subarray-sums-divisible-by-k/,,,"Feb 14, 2021 11:35 AM",,"May 11, 2021 8:58 AM",
Reverse Substrings Between Each Pair of Parentheses - Leetcode,1600,waiting,https://www.notion.so/Stack-67154e5bf7324feab7a8a732f028898b,like,1,,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/,,,"Feb 14, 2021 4:52 PM",,"Feb 24, 2021 9:11 AM",
Construct Target Array With Multiple Sums - LeetCode,2000,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Simulation-fdb95da9832b433d97b5f169424cf147",like,1,"Feb 15, 2021",https://leetcode.com/problems/construct-target-array-with-multiple-sums/,,,"Feb 14, 2021 4:53 PM",,"May 11, 2021 9:09 AM",
Make Sum Divisible by P - LeetCode,1500,done,https://www.notion.so/Subarray-ef1d425ad64945bf849cd2e45d4ee4aa,like,1,"Feb 15, 2021",https://leetcode.com/problems/make-sum-divisible-by-p/,,,"Feb 15, 2021 9:25 AM",,"Feb 22, 2021 9:27 PM",
Oracle Interview questions,,waiting,,technical interview,,"Feb 15, 2021",,,,"Feb 15, 2021 1:09 PM",,"May 20, 2021 9:55 AM",
Monotone Increasing Digits - LeetCode,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Traversal-dca46f72f93e4db583e0e72ba3dc6fdb",,1,"Feb 16, 2021",https://leetcode.com/problems/monotone-increasing-digits/,,,"Feb 16, 2021 8:35 AM",,"May 11, 2021 9:04 AM",
Create Maximum Number - Leetcode,2000,waiting,https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9,,,,https://leetcode.com/problems/create-maximum-number/,,,"Feb 16, 2021 8:43 AM",,"May 23, 2021 8:53 AM",
Maximum Swap - Leetcode,1500,done,"https://www.notion.so/Cumulative-73b8950eb0ab42228e72265c36aec690, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9",,1,"Feb 16, 2021",https://leetcode.com/problems/maximum-swap/,,,"Feb 16, 2021 8:51 AM",,"Apr 08, 2021 8:12 AM",
Find the Most Competitive Subsequence - Leetcode,1500,done,"https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Stack-67154e5bf7324feab7a8a732f028898b",,1,"Feb 16, 2021",https://leetcode.com/problems/find-the-most-competitive-subsequence/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Remove%20K%20Digits%20-%20LeetCode%20d9636684c1a749f08543542303c03063.md,,"Feb 16, 2021 8:52 AM",,"May 11, 2021 8:58 AM",
Minimum Swaps to Arrange a Binary Grid - Leetcode,1600,waiting,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Adjacent-Swaps-09c8b345d0d84d5f947eb2b9e8022519",,1,,https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/,,,"Feb 16, 2021 8:53 AM",,"May 20, 2021 9:56 AM",
Smallest Subsequence of Distinct Characters - LeetCode,,waiting,,,,,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters/,,,"Feb 16, 2021 4:22 PM",,"May 20, 2021 9:55 AM",
Minimum Initial Energy to Finish Tasks - LeetCode,2000,waiting,,,,,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/,,,"Feb 16, 2021 4:22 PM",,"May 20, 2021 9:55 AM",
Cut Ribbons of Same Length,1500,done,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Binary-Search-c1187205516c42ac9b3b3c69f153914a",,,"Feb 17, 2021",https://binarysearch.com/contest/Weekly-Contest-46-Wgbjnsf4qw?questionsetIndex=1,,,"Feb 17, 2021 8:06 AM",,"Mar 31, 2021 8:59 AM",
Stock Order Execution,1500,waiting,,,2,,https://binarysearch.com/contest/Weekly-Contest-46-Wgbjnsf4qw?questionsetIndex=2,,,"Feb 17, 2021 8:11 AM",,"Feb 18, 2021 7:45 AM",
Maximum Penalty in a tree,1500,done,,arcesium,,"Feb 16, 2021",,,,"Feb 17, 2021 9:25 AM",,"Feb 17, 2021 9:29 AM",
