Name,Points,Status,Pattern,Tags,Pomos (25 mins),Do Date,Source,Related To,Relates,Created Time,Problem Statement,Last edited time,Day Completed
Lone Integer,1500,done,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",puzzle,,"Dec 08, 2020",binarysearch.com,,,"Dec 08, 2020 10:01 PM",Given an array in which each element occurs exactly 3 times except for one element. Find that element in O(1) space?,"May 11, 2021 9:12 AM",
Perfect Squares | binarysearch,1200,ok,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb",,,"Dec 22, 2020",https://binarysearch.com/problems/Perfect-Squares,,,"Dec 22, 2020 5:59 PM",Write a program that determines the smallest number of square numbers that sum up to n.,"May 11, 2021 9:01 AM",
A Maniacal Walk,1800,ok,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb","new, number of paths",1,"Dec 22, 2020",https://binarysearch.com/problems/A-Maniacal-Walk,,,"Dec 22, 2020 10:28 PM",,"May 11, 2021 9:01 AM",
Stock span problem | Practice | GeeksforGeeks,1500,done,,de shaw,,,https://practice.geeksforgeeks.org/problems/stock-span-problem/0,,,"Dec 24, 2020 4:58 PM",,"Dec 25, 2020 7:06 PM",
kth Maximum Element in a bst,2000,ok,https://www.notion.so/Binary-Tree-2b7ef3f8a3684c2c8790ae61ff7ddaea,de shaw,,,,,,"Dec 24, 2020 5:45 PM",,"May 11, 2021 9:11 AM",
Convert BST to Max Heap - GeeksforGeeks,1200,ok,,"de shaw, new",,,https://www.geeksforgeeks.org/convert-bst-to-max-heap/,,,"Dec 24, 2020 5:52 PM",,"Dec 24, 2020 6:49 PM",
Find the second highest salary sql query,800,waiting,,de shaw,,,,,,"Dec 25, 2020 3:50 PM",,"Feb 18, 2021 7:45 AM",
Find minimum moves in a matrix,1700,done,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3","de shaw, shortest path",,,,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Shortest%20Path%20in%20a%20Grid%20with%20k%20Obstacles%20Eliminati%209fb9f1557e3f49fe94384c5f87eddfcc.md,,"Dec 25, 2020 5:09 PM",,"Mar 01, 2021 3:42 PM",
Find the maximum number of overlaps in intervals,1700,done,"https://www.notion.so/Cumulative-73b8950eb0ab42228e72265c36aec690, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Intervals-ebd124f2083d4f999c01b25e664d9e01","microsoft, new, nlogn, standard",1,"Dec 25, 2020",https://practice.geeksforgeeks.org/problems/maximum-intervals-overlap/0#,,,"Dec 25, 2020 8:04 PM",,"Mar 04, 2021 8:12 AM",
N-Queens - LeetCode,2000,ok,"https://www.notion.so/Matrix-4e063cbec5124ef1af380e9e5daf8ffb, https://www.notion.so/Backtracking-90d58a7ffa85438e86ce346981bf35b5",de shaw,,,https://leetcode.com/problems/n-queens/,,,"Dec 25, 2020 8:28 PM",,"May 11, 2021 9:05 AM",
Minimum Number of weights needed to measure up to N,1300,done,https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242,,,"Jan 06, 2021",,,,"Dec 25, 2020 11:39 PM",,"Feb 22, 2021 9:22 PM",
Sort Stack Using Recursion,800,done,,,,"Dec 26, 2020",,,,"Dec 26, 2020 12:06 AM",,"Feb 07, 2021 8:38 AM",
