Name,Points,Tags,Status,Pomos (25 mins),Do Date,Related To,Relates,Source,Created Time,Last edited time,Problem Statement,Day Completed,Pattern
Last Stone Weight III - Leetcode discuss,,,waiting,,,https://www.notion.so/Last-Stone-Weight-II-LeetCode-c7e08fc2faa643f08c38f081dfc1839e,,https://leetcode.com/problems/last-stone-weight-ii/discuss/294888/JavaC%2B%2BPython-Easy-Knapsacks-DP,"Dec 19, 2020 2:21 PM","May 23, 2021 8:53 AM",,,../Array%20af1fbf6be3da4abfadba9d43c8017242.md
Concatenated Words - Leetcode,2000,,ok,1,"Dec 19, 2020",,,https://leetcode.com/problems/concatenated-words/,"Dec 19, 2020 2:28 PM","May 11, 2021 9:06 AM","Given a list of words (without duplicates), please write a program that returns all concatenated words in the given list of words.
A concatenated word is defined as a string that is comprised entirely of at least two shorter words in the given array",,../Trie%20f7bb6e4b7ce240149ca68fdbf408a727.md
Restore The Array - LeetCode,1800,counting dp,done,1,"Dec 19, 2020",https://www.notion.so/Decode-Ways-LeetCode-62637e7bf9e94d8da4dc17606744d6d2,,https://leetcode.com/problems/restore-the-array/,"Dec 19, 2020 2:47 PM","Mar 01, 2021 8:48 AM",,,"../Array%20af1fbf6be3da4abfadba9d43c8017242.md, ../Dp%2071e29475df134130a63445f5437e90ee.md"
Decode Ways - LeetCode,1500,,done,1,"Dec 19, 2020",,https://www.notion.so/Restore-The-Array-LeetCode-15424e4675cc485da0ae7080f42dc76b,https://leetcode.com/problems/decode-ways/,"Dec 19, 2020 3:34 PM","May 11, 2021 9:01 AM",,,"../Dp%2071e29475df134130a63445f5437e90ee.md, ../Number%20Theory%2002e26369bab8475881b8a6a9d7b33ca9.md, ../Linear%20DP%2040f64e6224704d17972aa352dc735edb.md"
Remove Boxes - LeetCode,,hard,waiting,,,,,https://leetcode.com/problems/remove-boxes/,"Dec 19, 2020 4:09 PM","May 23, 2021 8:53 AM",,,
String Compression II - LeetCode,,hard,waiting,,,,,https://leetcode.com/problems/string-compression-ii/,"Dec 19, 2020 4:09 PM","May 23, 2021 8:53 AM",,,
Can I Win - LeetCode,1700,"game, logic",done,3,"Feb 04, 2021",,,https://leetcode.com/problems/can-i-win/,"Dec 19, 2020 4:10 PM","May 11, 2021 9:05 AM",,,"../Matrix%204e063cbec5124ef1af380e9e5daf8ffb.md, ../Backtracking%2090d58a7ffa85438e86ce346981bf35b5.md"
Count Sorted Vowel Strings - LeetCode,1200,,done,3,"Jan 29, 2021",,,https://leetcode.com/problems/count-sorted-vowel-strings/,"Dec 19, 2020 4:12 PM","May 11, 2021 9:01 AM",,,"../Dp%2071e29475df134130a63445f5437e90ee.md, ../Number%20Theory%2002e26369bab8475881b8a6a9d7b33ca9.md, ../Linear%20DP%2040f64e6224704d17972aa352dc735edb.md"
Jump Game VI - LeetCode,1650,jumping,ok,,,https://www.notion.so/Jump-Game-04428277492840a7947a1daa2ce5707d,,https://leetcode.com/problems/jump-game-vi/,"Dec 19, 2020 5:08 PM","Feb 22, 2021 9:23 PM",,,../Array%20af1fbf6be3da4abfadba9d43c8017242.md
Checking Existence of Edge Length Limited Paths - LeetCode,2000,hard,waiting,2,,,,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/,"Dec 19, 2020 5:12 PM","May 20, 2021 9:55 AM",,,../Union%20Find%20cedb0985a13849fd91014bde5731e6ec.md
